title,console,genre,publisher,vg_score,critic_score,user_score,total_shipped,aisan_sales,north_american_sales,japan_sales,european_sales,global_sales,release_year
The Bureau  XCOM Declassified,PS3,Shooter,2K Games,10,1,6,173,0.27,0.08,4.26,0.14,4.75,2013
Spec Ops  The Line,PS3,Shooter,2K Games,6,4,9,116,0.55,0.19,0.04,0.24,1.02,2012
Duke Nukem Forever,PS3,Shooter,2K Games,4,4.4,4,230,0.76,0.33,1.43,0.31,2.83,2011
Borderlands  Game of the Year Edition,PS3,Shooter,2K Games,6,7,8,10,0.01,4.26,5.56,0.01,9.84,2010
Borderlands 2,PS3,Shooter,2K Games,9,4,2,121,2.27,1.06,0.1,0.75,4.18,2012
Borderlands,PS3,Shooter,2K Games,8.6,8.2,2,53,2.12,1.22,3.05,0.61,7,2009
BioShock Infinite,PS3,Shooter,2K Games,2,9.5,8,75,1.82,0.74,0.04,0.74,3.34,2013
BioShock 2,PS3,Shooter,2K Games,9.1,8.5,6,282,1.55,0.85,0.02,0.46,2.88,2010
BioShock,PS3,Shooter,2K Games,9.3,9.3,6,66,1.44,0.75,0.01,0.48,2.68,2008
Evolve,PS4,Shooter,2K Games,8,8,1,44,1.01,0.38,0.05,0.41,1.85,2015
Borderlands  The Handsome Collection,PS4,Shooter,2K Games,9,9,3,252,1.28,0.69,0.03,0.34,2.34,2015
Borderlands 3,PS4,Shooter,2K Games,5,6,10,18,6.87,2.91,5.13,2.88,17.79,2019
Borderlands 2 VR,PS4,Shooter,2K Games,2,4,8,242,0.09,0.07,5.07,2.15,7.38,2018
BioShock  The Collection,PS4,Shooter,2K Games,1,7,8,122,0.86,0.41,0.03,0.28,1.58,2016
Battleborn,PS4,Shooter,2K Games,6,2,9,78,0.48,0.25,0.03,0.12,0.88,2016
Borderlands  The Zombie Island of Dr. Ned,PSN,Shooter,2K Games,4,8.1,8,101,2.55,3.49,1.92,2.65,10.61,2009
Borderlands  The Secret Armory of General Knoxx,PSN,Shooter,2K Games,5,8.6,1,199,3.2,2.51,2.87,3.16,11.74,2010
Borderlands  Mad Moxxis Underdome Riot,PSN,Shooter,2K Games,9,6,3,274,3.45,4.69,5.84,6.43,20.41,2010
Borderlands  Claptraps New Robot Revolution,PSN,Shooter,2K Games,9,8,10,80,3.78,2.88,1.39,4.6,12.65,2010
Borderlands,PSN,Shooter,2K Games,3,10,5,116,5.34,1.63,2.6,2.5,12.07,2010
BioShock 2  Sinclair Solutions Test Pack,PSN,Shooter,2K Games,10,9,10,71,3.53,3.23,4.41,4.39,15.56,2010
BioShock 2  Rapture Metro Map Pack,PSN,Shooter,2K Games,8,1,7,208,5.47,1.65,5.43,3.02,15.57,2010
BioShock 2  Protector Trials,PSN,Shooter,2K Games,1,5,5,8,7.17,2.74,2.87,1.48,14.26,2010
BioShock 2  Minervas Den,PSN,Shooter,2K Games,9,2,1,95,5.75,2.5,3.39,5.18,16.82,2010
Sid Meiers Civilization  Beyond Earth,Linux,Simulation,2K Games,8,7,8,264,3.38,4.76,1.06,6.6,15.8,2014
Sid Meiers Railroads ,PC,Simulation,2K Games,1,7,10,16,0.04,0.01,3.48,0.03,3.56,2006
Sid Meiers Civilization  Beyond Earth,PC,Simulation,2K Games,2,6,2,7,0.4,0.14,4.54,0.23,5.31,2014
WWE 2K17,PS3,Sports,2K Games,1,9,9,279,0.37,0.11,2.3,0.19,2.97,2016
WWE 2K17,PS4,Sports,2K Games,3,7,8,158,1.22,0.32,5.23,0.7,7.47,2016
NBA 2K Playgrounds 2,PS4,Sports,2K Games,10,4,8,39,0.08,0.06,5.53,6.35,12.02,2018
Golf Club 2019,PS4,Sports,2K Games,9,8,9,211,0.06,0.05,3.53,6.69,10.33,2018
NBA 2K10,PSN,Sports,2K Games,6,5.5,8,51,6.63,3.69,4.14,3.9,18.36,2009
Major League Baseball 2K9,PSN,Sports,2K Games,4,5,10,116,7.24,2.28,2.66,1.46,13.64,2009
Major League Baseball 2K10,PSN,Sports,2K Games,10,6,6,79,4.75,1,3.29,1.93,10.97,2010
Wonder Pets  Save the Animals ,DS,Adventure,2K Play,2,8,9,2,0.36,0.33,2.36,3.25,6.3,2008
Go  Diego  Go  Safari Rescue,DS,Adventure,2K Play,6,1,1,251,0.15,0.14,5.66,0.01,5.96,2007
WWE 2K19,PC,Fighting,2K Sports,5,7,3,95,2.53,1.77,2.76,3.94,11,2018
WWE 2K14,PS3,Fighting,2K Sports,5,7.6,9,59,1.2,0.49,1.84,0.51,4.04,2013
WWE 2K19,PS4,Fighting,2K Sports,3,8,10,65,0.98,0.36,3.45,0.46,5.25,2018
Top Spin 3,DS,Sports,2K Sports,7,6,3,183,0.14,0.11,4.69,0.02,4.96,2008
Top Spin 2,DS,Sports,2K Sports,2,5.2,8,40,0.05,0.05,4.22,4.38,8.7,2006
The BIGS 2,DS,Sports,2K Sports,10,10,8,72,0.05,0.05,4.41,5.79,10.3,2009
Nicktoons MLB,DS,Sports,2K Sports,10,1,4,277,0.1,0.09,5,1.79,6.98,2011
MLB Power Pros 2008,DS,Sports,2K Sports,5,6,10,258,0.07,0.06,2.92,6.59,9.64,2008
MLB 2K9 Fantasy All Stars,DS,Sports,2K Sports,2,8,5,134,0.09,0.08,3,4.63,7.8,2009
Major League Baseball 2K7,DS,Sports,2K Sports,2,1,6,126,1,3.91,2.38,2.64,9.93,2007
Major League Baseball 2K11,DS,Sports,2K Sports,10,5,4,4,0.09,0.08,1.47,2.1,3.74,2011
Major League Baseball 2K10,DS,Sports,2K Sports,10,2.8,10,97,0.15,0.14,3.2,1.64,5.13,2010
Don King Boxing,DS,Sports,2K Sports,9,7,5,229,0.08,0.06,2.13,0.02,2.29,2009
WWE 2K16,PC,Sports,2K Sports,3,1,7,0.14,1.69,2.93,4.07,6.82,15.51,2016
WWE 2K15,PC,Sports,2K Sports,1,2,6,246,5.1,3.92,2.37,6.06,17.45,2015
Torino 2006,PC,Sports,2K Sports,8,7,9,246,6.62,4.36,4.69,3.57,19.24,2006
Top Spin 2,PC,Sports,2K Sports,1,6.8,6,176,3.09,2.4,2.86,2.56,10.91,2007
PGA Tour 2K21,PC,Sports,2K Sports,5,4,6,165,5.97,4.68,1.08,6.74,18.47,2020
NBA 2K9,PC,Sports,2K Sports,2,8,7,298,3.54,2.19,5.29,4.72,15.74,2008
NBA 2K21,PC,Sports,2K Sports,9,9,4,123,7.34,1.27,2.17,4.28,15.06,2020
NBA 2K20,PC,Sports,2K Sports,7,10,6,102,6.63,4.45,2.48,5.38,18.94,2019
NBA 2K19,PC,Sports,2K Sports,3,3,10,1,7.08,3.58,1.52,4.08,16.26,2018
NBA 2K18,PC,Sports,2K Sports,10,7,3,0.54,2.74,3.42,3.91,5.57,15.64,2017
NBA 2K17,PC,Sports,2K Sports,10,6,2,244,0.03,2.36,2.8,0.03,5.22,2016
NBA 2K16,PC,Sports,2K Sports,8,3,10,232,0.12,0.05,3.93,0.07,4.17,2015
NBA 2K15,PC,Sports,2K Sports,10,10,6,277,5.92,1.69,2.23,6.45,16.29,2014
NBA 2K14,PC,Sports,2K Sports,10,7,3,72,3.11,1.81,4.31,6.28,15.51,2013
NBA 2K13,PC,Sports,2K Sports,8,9.1,10,217,0.03,2.56,2.65,0.02,5.26,2012
NBA 2K12,PC,Sports,2K Sports,7,8.5,1,195,0.16,0.09,1.93,0.05,2.23,2011
NBA 2K11,PC,Sports,2K Sports,8,7,7,181,0.19,0.18,2.42,5.2,7.99,2010
NBA 2K10,PC,Sports,2K Sports,2,1,4,43,0.01,2.56,4.97,0.01,7.55,2009
MLB Front Office Manager,PC,Sports,2K Sports,5,1,9,106,6.21,4.15,5.89,1.04,17.29,2009
Major League Baseball 2K9,PC,Sports,2K Sports,9,4,4,206,5.9,4.37,3.65,4.35,18.27,2009
Major League Baseball 2K11,PC,Sports,2K Sports,9,7,8,130,0.08,0.06,2.8,0.02,2.96,2011
Major League Baseball 2K10,PC,Sports,2K Sports,5,7.3,8,270,7.14,3.33,3.92,4.17,18.56,2010
Torino 2006,PS2,Sports,2K Sports,9,7,10,71,0.13,0.06,4.07,0.05,4.31,2006
Top Spin,PS2,Sports,2K Sports,5,9,8,206,0.1,0.05,4.5,0.04,4.69,2005
The BIGS 2,PS2,Sports,2K Sports,3,1,2,187,0.2,0.1,2.14,0.08,2.52,2009
The BIGS,PS2,Sports,2K Sports,7,1,4,300,0.51,0.25,1.31,0.19,2.26,2007
NHL 2K9,PS2,Sports,2K Sports,7,2,1,121,0.13,0.07,3.99,0.05,4.24,2008
NHL 2K8,PS2,Sports,2K Sports,5,9,7,148,7.11,4.82,1.7,1.18,14.81,2007
NHL 2K7,PS2,Sports,2K Sports,8,7.6,7,258,7.98,4.42,1.8,4.99,19.19,2006
NHL 2K6,PS2,Sports,2K Sports,1,6,3,94,0.42,0.21,4.23,0.16,5.02,2005
NHL 2K10,PS2,Sports,2K Sports,5,6,9,296,0.36,0.17,3.46,0.14,4.13,2009
NBA 2K9,PS2,Sports,2K Sports,8,7,1,35,0.41,0.34,1.26,0.01,2.02,2008
NBA 2K8,PS2,Sports,2K Sports,5,8,7,217,0.6,0.5,4.6,0.02,5.72,2007
NBA 2K7,PS2,Sports,2K Sports,6,8.2,3,130,0.78,0.65,5.66,0.02,7.11,2006
NBA 2K12,PS2,Sports,2K Sports,7,3,6,209,2.56,4.79,4.7,5.16,17.21,2011
NBA 2K11,PS2,Sports,2K Sports,7,2,7,134,0.41,0.34,2.24,0.01,3,2010
NBA 2K10,PS2,Sports,2K Sports,2,7,7,102,0.4,0.33,1.18,0.01,1.92,2009
MLB Power Pros 2008,PS2,Sports,2K Sports,5,6,9,70,0.15,0.05,0.05,0.04,0.29,2008
MLB Power Pros,PS2,Sports,2K Sports,4,1,4,257,0.11,3.49,0.11,6.54,10.25,2007
Major League Baseball 2K9,PS2,Sports,2K Sports,3,5,9,215,0.17,0.08,1.51,0.06,1.82,2009
Major League Baseball 2K8,PS2,Sports,2K Sports,5,5,7,129,0.15,0.07,5.88,0.06,6.16,2008
Major League Baseball 2K7,PS2,Sports,2K Sports,5,1,10,59,0.6,0.29,3.3,0.23,4.42,2007
Major League Baseball 2K6,PS2,Sports,2K Sports,5,7.3,6,68,0.44,0.37,5.59,0.01,6.41,2006
Major League Baseball 2K5  World Series Edition,PS2,Sports,2K Sports,7,9,9,249,1.93,2.29,1.56,2.65,8.43,2005
Major League Baseball 2K5,PS2,Sports,2K Sports,10,3,3,83,1.48,0.72,3.81,0.56,6.57,2005
Major League Baseball 2K11,PS2,Sports,2K Sports,4,3,1,277,0.05,0.02,1.36,0.02,1.45,2011
Major League Baseball 2K10,PS2,Sports,2K Sports,4,2,10,288,0.23,0.11,3.94,0.09,4.37,2010
College Hoops 2K8,PS2,Sports,2K Sports,3,5,6,125,0.35,0.17,1.44,0.13,2.09,2007
College Hoops 2K7,PS2,Sports,2K Sports,8,7.1,9,31,5.72,4.54,2.75,2.11,15.12,2006
College Hoops 2K6,PS2,Sports,2K Sports,8,8.3,7,218,0.25,0.12,2.68,0.1,3.15,2005
WWE 2K15,PS3,Sports,2K Sports,7,6,6,4,0.8,0.37,4.01,0.29,5.47,2014
Top Spin 4,PS3,Sports,2K Sports,8,8.2,3,61,0.69,0.17,1.43,0.4,2.69,2011
Top Spin 3,PS3,Sports,2K Sports,1,7.8,6,273,0.57,0.08,2.8,0.37,3.82,2008
The BIGS 2,PS3,Sports,2K Sports,9,10,5,134,0.13,0.12,1.7,1.5,3.45,2009
The BIGS,PS3,Sports,2K Sports,8,8,4,289,0.16,0.15,1.29,2.26,3.86,2007
NHL 2K9,PS3,Sports,2K Sports,4,4,6,238,0.13,0.11,4.17,0.01,4.42,2008
NHL 2K8,PS3,Sports,2K Sports,7,1,5,269,0.09,0.08,2.4,0.01,2.58,2007
NHL 2K7,PS3,Sports,2K Sports,6,8.2,8,48,0.13,0.11,5.39,1.43,7.06,2006
NHL 2K10,PS3,Sports,2K Sports,4,6.5,1,288,0.15,0.13,4.99,0.01,5.28,2009
NBA 2K9,PS3,Sports,2K Sports,8.8,8.3,9,175,0.62,0.56,3.31,5.16,9.65,2008
NBA 2K8,PS3,Sports,2K Sports,7,9,9,280,0.55,0.5,3.6,0.01,4.66,2007
NBA 2K7,PS3,Sports,2K Sports,1,8.1,4,113,0.38,0.3,1.18,0.04,1.9,2006
NBA 2K18,PS3,Sports,2K Sports,2,7,8,221,0.09,0.06,0.01,0.01,0.17,2017
NBA 2K17,PS3,Sports,2K Sports,1,1,3,149,0.34,0.16,0.02,0.11,0.63,2016
NBA 2K16,PS3,Sports,2K Sports,6,3,2,196,0.79,0.49,0.05,0.12,1.45,2015
NBA 2K15,PS3,Sports,2K Sports,7,5,3,70,1.37,0.89,0.02,0.22,2.5,2014
NBA 2K14,PS3,Sports,2K Sports,9,6,10,273,2.22,1.45,0.04,0.34,4.05,2013
NBA 2K13,PS3,Sports,2K Sports,2,8.9,8,219,2.63,1.74,0.05,0.46,4.88,2012
NBA 2K12,PS3,Sports,2K Sports,8,9,4,277,2.13,1.62,0.05,0.27,4.07,2011
NBA 2K11,PS3,Sports,2K Sports,4,6,7,170,1.81,1.41,0.03,0.21,3.46,2010
NBA 2K10,PS3,Sports,2K Sports,9,8.2,2,116,0.84,0.75,0.01,0.01,1.61,2009
MLB Front Office Manager,PS3,Sports,2K Sports,4,4,7,241,0.08,0.07,5.62,3.12,8.89,2009
Major League Baseball 2K9,PS3,Sports,2K Sports,4,5,8,136,0.17,0.16,1.29,3.41,5.03,2009
Major League Baseball 2K8,PS3,Sports,2K Sports,8,8,9,199,0.31,0.28,5.47,1.64,7.7,2008
Major League Baseball 2K7,PS3,Sports,2K Sports,6,1,3,149,0.25,0.23,5.05,3.79,9.32,2007
Major League Baseball 2K13,PS3,Sports,2K Sports,3,7,8,113,0.17,0.14,2.69,1.58,4.58,2013
Major League Baseball 2K11,PS3,Sports,2K Sports,8,6,6,177,0.2,0.15,2.48,0.03,2.86,2011
Major League Baseball 2K10,PS3,Sports,2K Sports,8,7.2,5,221,0.19,0.17,2.76,6.41,9.53,2010
College Hoops 2K8,PS3,Sports,2K Sports,5,2,5,8,0.14,0.13,1.37,3.37,5.01,2007
College Hoops 2K7,PS3,Sports,2K Sports,7,8.2,1,48,0.18,0.16,4.27,3.19,7.8,2007
All Pro Football 2K8,PS3,Sports,2K Sports,4,7,4,46,0.15,0.14,3.66,1.42,5.37,2007
WWE 2K18,PS4,Sports,2K Sports,2,1,5,24,1.33,0.45,1.02,0.67,3.47,2017
WWE 2K15,PS4,Sports,2K Sports,7,9,4,231,1.16,0.4,1.48,0.57,3.61,2014
PGA Tour 2K21,PS4,Sports,2K Sports,4,1,6,95,3.26,2.52,2.04,2.41,10.23,2020
NBA 2K21,PS4,Sports,2K Sports,8,2,8,216,7.71,1,4.98,4.94,18.63,2020
NBA 2K20,PS4,Sports,2K Sports,4,8,4,119,3.43,1.44,4.32,5.7,14.89,2019
NBA 2K19,PS4,Sports,2K Sports,9,7,9,124,2.63,1.69,0.03,0.44,4.79,2018
NBA 2K18,PS4,Sports,2K Sports,5,8.1,10,213,3.34,2.13,0.04,0.57,6.08,2017
NBA 2K17,PS4,Sports,2K Sports,1,9,5,197,3.52,2.28,0.03,0.59,6.42,2016
NBA 2K16,PS4,Sports,2K Sports,5,8.7,9,87,3.98,2.56,0.05,0.66,7.25,2015
NBA 2K15,PS4,Sports,2K Sports,10,4,5,30,2.49,1.49,0.01,0.55,4.54,2014
NBA 2K14,PS4,Sports,2K Sports,7,2,5,277,1.54,0.91,0.01,0.35,2.81,2013
NBA 2K21,PS5,Sports,2K Sports,2,8,4,174,7.17,4.04,4.01,2.8,18.02,2020
NBA 2K11 (PSP),PSN,Sports,2K Sports,3,4,6,157,2.66,3.57,5.83,5.85,17.91,2010
NBA 2K10  Draft Combine,PSN,Sports,2K Sports,3,1,7,110,2.72,3.06,2.11,3.12,11.01,2009
MLB 10  The Show,PSN,Sports,2K Sports,3,10,9,206,1.9,3,2.17,2.62,9.69,2010
Major League Baseball 2K11,PSN,Sports,2K Sports,9,1,8,75,6.92,4.52,1.84,2.29,15.57,2011
2XL Supercross,PC,Racing,2XL Games,2,4,2,245,1.21,2.4,1.88,2.13,7.62,2010
Battlecruiser Millennium,PC,Simulation,3000AD,6,10,7,291,1.13,3.32,1.6,6.4,12.45,2001
Papers  Please,PC,Puzzle,3909 LLC,2,8.4,5,2.31,2.9,4.2,4.57,4.13,15.8,2013
Return of the Obra Dinn,PS4,Puzzle,3909 LLC,10,9,6,63,2.24,1.03,2.26,4.18,9.71,2019
Ion Fury,PC,Shooter,3D Realms,1,5,4,31,7.11,4.67,4.01,6.43,22.22,2019
Duke Nukem 3D  Plutonium Pak,PC,Shooter,3D Realms,6,1,1,136,2.59,1.55,2.57,1.23,7.94,1996
Ion Fury,PS4,Shooter,3D Realms,3,1,9,237,3.36,2.36,5.45,1.68,12.85,2020
Warriors of Might and Magic,PS,Adventure,3DO,9,1,6,88,0.13,0.07,5.57,0.05,5.82,2001
Warriors of Might and Magic,PS2,Adventure,3DO,10,5,7,113,0.17,0.09,5.47,0.07,5.8,2001
Shifters,PS2,Adventure,3DO,9,5,1,242,0.05,0.03,5.41,0.02,5.51,2002
Aqua Aqua,PS2,Puzzle,3DO,10,4,2,299,0.11,0.05,5.34,0.04,5.54,2001
TOCA Championship Racing,PS,Racing,3DO,8,10,4,0.6,6.69,3.03,2.21,6.51,18.44,1998
Star Fighter,PC,Shooter,3DO,2,8,1,187,5.91,3.99,5.82,6.86,22.58,1996
Requiem  Avenging Angel,PC,Shooter,3DO,8,8,1,51,1.44,2.73,1.7,2.74,8.61,1999
Legends of Might and Magic,PC,Shooter,3DO,10,1,9,59,4.1,2.1,5.63,1.76,13.59,2001
Killing Time,PC,Shooter,3DO,9,4,9,87,6.19,1.15,4.65,6.19,18.18,1996
Captain Quazar,PC,Shooter,3DO,6,5,3,6,5.31,3.1,5.08,6.45,19.94,1996
Army Men II,PC,Shooter,3DO,10,3,7,114,4.7,3.03,4.6,1.88,14.21,1999
WarJetz,PS2,Shooter,3DO,1,1,10,142,0.04,0.02,1.51,0.02,1.59,2001
Dragon Rage,PS2,Shooter,3DO,4,8,6,64,0.06,0.03,5.97,0.02,6.08,2001
Army Men  Sarges Heroes 2,PS2,Shooter,3DO,1,2,1,104,0.17,0.09,2.65,0.07,2.98,2001
Army Men  Green Rogue,PS2,Shooter,3DO,4,1,5,211,0.13,0.06,2.61,0.05,2.85,2001
Sammy Sosa High Heat Baseball 2001,PS,Sports,3DO,2,3,8,40,0.58,0.32,3.77,0.22,4.89,2000
High Heat Baseball 2002,PS,Sports,3DO,5,2,10,187,0.04,0.02,2.76,0.02,2.84,2001
Alex Fergusons Player Manager 2001,PS,Sports,3DO,8,9,1,96,1.26,1.69,3.77,5.14,11.86,2000
Jonny Moseley Mad Trix,PS2,Sports,3DO,9,5,6,46,0.14,0.07,1.32,0.05,1.58,2001
High Heat Major League Baseball 2004,PS2,Sports,3DO,6,8,4,226,0.36,0.18,1.17,0.14,1.85,2003
